medcodeid	term
289151018	Malignant neoplasm of female breast NOS
289153015	Malignant neoplasm of nipple and areola of male breast
289156011	Malignant neoplasm of nipple or areola of male breast NOS
289157019	Malignant neoplasm of other site of male breast
289158012	Malignant neoplasm of ectopic site of male breast
289159016	Malignant neoplasm of male breast NOS
289166015	Malignant neoplasm of uterus
289171010	Malignant neoplasm of endocervical canal
289172015	Malignant neoplasm of endocervical gland
289173013	Malignant neoplasm of endocervix NOS
289175018	Malignant neoplasm, overlapping lesion of cervix uteri
289178016	Malignant neoplasm of other site of cervix
289179012	Malignant neoplasm of cervical stump
289180010	Malignant neoplasm of squamocolumnar junction of cervix
289181014	Malignant neoplasm of other site of cervix NOS
289182019	Malignant neoplasm of cervix uteri NOS
289184018	Choriocarcinoma
289187013	Malignant neoplasm of corpus uteri, excluding isthmus
289188015	Malignant neoplasm of cornu of corpus uteri
289189011	Malignant neoplasm of fundus of corpus uteri
289190019	Malignant neoplasm of endometrium of corpus uteri
289191015	Malignant neoplasm of myometrium of corpus uteri
289192010	Malignant neoplasm of corpus uteri NOS
289193017	Malignant neoplasm of isthmus of uterine body
289194011	Malignant neoplasm of lower uterine segment
289195012	Malignant neoplasm of isthmus of uterine body NOS
289196013	Malignant neoplasm of overlapping lesion of corpus uteri
289197016	Malignant neoplasm of other site of uterine body
289198014	Malignant neoplasm of body of uterus NOS
289199018	Malignant neoplasm of uterine adnexa
289202011	Malignant neoplasm of round ligament
289203018	Malignant neoplasm of other site of uterine adnexa
289204012	Malignant neoplasm of uterine adnexa NOS
289206014	Malignant neoplasm of Gartner's duct
289207017	Malignant neoplasm of vaginal vault
289208010	Malignant neoplasm of vagina NOS
289209019	Malignant neoplasm of greater vestibular (Bartholin's) gland
289210012	Malignant neoplasm of labia majora NOS
289217010	Malignant neoplasm of other specified female genital organ
289219013	Malignant tumour of female genital organ
289223017	Malignant neoplasm of undescended testis
289224011	Malignant neoplasm of ectopic testis
289234019	Malignant neoplasm of undescended testis NOS
289242018	Malignant neoplasm of penis and other male genital organs
289246015	Malignant neoplasm of body of penis
289249010	Malignant tumour of penis
289251014	Malignant neoplasm of other male genital organ
289252019	Malignant neoplasm of seminal vesicle
289257013	Malignant neoplasm of tunica vaginalis
289259011	Malignant neoplasm of other male genital organ NOS
289260018	Malignant neoplasm of penis and other male genital organ NOS
289262014	Malignant neoplasm of trigone of urinary bladder
289267015	Malignant neoplasm of dome of urinary bladder
289270016	Malignant neoplasm of lateral wall of urinary bladder
289271017	Malignant neoplasm of anterior wall of urinary bladder
289272012	Malignant neoplasm of posterior wall of urinary bladder
289275014	Malignant neoplasm of bladder neck
2892751000006112	Medullomyoblastoma
289276010	Malignant neoplasm of ureteric orifice
289279015	Malignant neoplasm of other site of urinary bladder
289280017	Malignant neoplasm, overlapping lesion of bladder
289281018	Malignant neoplasm of urinary bladder NOS
289285010	Malignant neoplasm of kidney parenchyma
289288012	Hypernephroma
289294016	Malignant neoplasm of ureteropelvic junction
289296019	Malignant neoplasm of renal pelvis NOS
289297011	Malignant neoplasm of other urinary organs
289298018	Malignant neoplasm of overlapping lesion of urinary organs
289299014	Malignant tumour of urinary system
289301019	Malignant neoplasm of genitourinary organ NOS
289308013	Malignant neoplasm of ciliary body
289311014	Malignant neoplasm of iris
289314018	Malignant neoplasm of crystalline lens
289315017	Malignant neoplasm of sclera
289316016	Malignant neoplasm of eyeball NOS
289317013	Malignant neoplasm of connective tissue of orbit
289318015	Malignant neoplasm of extraocular muscle of orbit
289319011	Malignant neoplasm of orbit NOS
289322013	Malignant neoplasm of lacrimal gland
289325010	Malignant neoplasm of lacrimal sac
289326011	Malignant neoplasm of nasolacrimal duct
289327019	Malignant neoplasm of lacrimal duct NOS
289329016	Malignant neoplasm of other specified site of eye
289330014	Malignant neoplasm of eye NOS
289337012	Malignant neoplasm of basal ganglia
289338019	Malignant neoplasm of cerebral cortex
289339010	Malignant neoplasm of corpus striatum
289341011	Malignant neoplasm of globus pallidus
289343014	Malignant neoplasm of hypothalamus
289345019	Malignant neoplasm of thalamus
289346018	Malignant neoplasm of cerebrum NOS
289347010	Malignant neoplasm of hippocampus
289348017	Malignant neoplasm of uncus
289349013	Malignant neoplasm of temporal lobe NOS
289352017	Malignant neoplasm of choroid plexus
2893521000006118	Spindle cell melanoma, type A
289353010	Malignant neoplasm of floor of cerebral ventricle
2893531000006115	Spindle cell melanoma - type A
289354016	Malignant neoplasm of cerebral ventricle NOS
289355015	Malignant neoplasm of cerebral peduncle
289356019	Malignant neoplasm of medulla oblongata
289357011	Malignant neoplasm of midbrain
289358018	Malignant neoplasm of pons
289360016	Malignant neoplasm of other parts of brain
289361017	Malignant neoplasm of corpus callosum
289362012	Malignant neoplasm of tapetum
289364013	Malignant neoplasm of other part of brain NOS
289365014	Malignant neoplasm of brain NOS
289369015	Malignant neoplasm of olfactory bulb
289374011	Malignant neoplasm of cranial nerves NOS
289375012	Malignant neoplasm of cerebral dura mater
289376013	Malignant neoplasm of cerebral arachnoid mater
289378014	Malignant neoplasm of cerebral pia mater
289379018	Malignant neoplasm of cerebral meninges NOS
289380015	Malignant neoplasm of spinal dura mater
289381016	Malignant neoplasm of spinal arachnoid mater
289382011	Malignant neoplasm of spinal pia mater
289383018	Malignant neoplasm of spinal meninges NOS
289388010	Malignant neoplasm of peripheral nerve of thorax
289389019	Malignant neoplasm of peripheral nerve of abdomen
289390011	Malignant neoplasm of peripheral nerve of pelvis
289396017	Malignant neoplasm of other specified part of nervous system
289397014	Malignant neoplasm of nervous system
289406011	Malignant tumour of adrenal gland
289409016	Malignant neoplasm of craniopharyngeal duct
289413011	Primary malignant neoplasm of paraganglion
289419010	Malignant neoplasm of aortic body or paraganglia NOS
289421017	Malignant neoplasm of other specified endocrine gland
289423019	Malignant neoplasm of other and ill-defined sites
289424013	Malignant neoplasm of head, neck and face
289425014	Malignant tumour of head and neck
289426010	Carcinoma of cheek
289427018	Malignant neoplasm of nose
289428011	Malignant neoplasm of jaw
289429015	Malignant tumour of neck
289430013	Malignant neoplasm of supraclavicular fossa
289431012	Malignant neoplasm of head, neck and face NOS
289432017	Malignant neoplasm of thorax
289435015	Malignant tumour of axilla
289436019	Malignant neoplasm of chest wall
289437011	Malignant neoplasm of intrathoracic site NOS
289438018	Malignant neoplasm of thorax NOS
289441010	Malignant neoplasm of abdomen
289442015	Malignant neoplasm of inguinal region
289445018	Malignant neoplasm of pelvis NOS
289446017	Malignant neoplasm of upper limb NOS
289447014	Malignant tumour of lower limb
289448016	Malignant neoplasm of other specified sites
289449012	Malignant neoplasm of back
289450012	Malignant neoplasm of trunk
289451011	Malignant neoplasm of flank
289452016	Malignant neoplasm of specified site NOS
289515018	Secondary malignant neoplasm of respiratory tract
289530010	Secondary malignant neoplasm of gastrointestinal tract
289535017	Secondary malignant neoplasm of other urinary organs
289536016	Secondary malignant neoplasm of other urinary organ NOS
289538015	Secondary malignant neoplasm of skin of head
289542017	Secondary malignant neoplasm of skin of shoulder and arm
289543010	Secondary malignant neoplasm of skin of hip and leg
289545015	Secondary malignant neoplasm of skin NOS
289546019	Secondary malignant neoplasm of brain and spinal cord
289549014	Secondary malignant neoplasm of brain or spinal cord NOS
289550014	Secondary malignant neoplasm of other part of nervous system
289553011	Secondary malignant neoplasm of cervix uteri
289554017	Secondary cancer of the cervix
289557012	Secondary malignant neoplasm of epididymis and vas deferens
289559010	Secondary malignant neoplasm of other specified site NOS
289561018	Malignant neoplasm of unspecified site
289565010	Other malignant neoplasm NOS
289566011	Malignant neoplasms of independent (primary) multiple sites
289571016	Malignant neoplasm of unspecified site NOS
289574012	Malignant neoplasm of other and unspecified site NOS
289580016	Lymphosarcoma and reticulosarcoma
289581017	Reticulosarcoma of unspecified site
289582012	Reticulosarcoma of lymph nodes of head, face and neck
289585014	Reticulosarcoma of lymph nodes of axilla and upper limb
289590012	Reticulosarcoma NOS
289591011	Lymphosarcoma
289592016	Lymphosarcoma of unspecified site
289593014	Lymphosarcoma of lymph nodes of head, face and neck
289594015	Lymphosarcoma of intrathoracic lymph nodes
289595019	Lymphosarcoma of intra-abdominal lymph nodes
289596018	Lymphosarcoma of lymph nodes of axilla and upper limb
289598017	Lymphosarcoma of intrapelvic lymph nodes
289599013	Lymphosarcoma of spleen
289600011	Lymphosarcoma of lymph nodes of multiple sites
289601010	Lymphosarcoma NOS
289602015	Burkitt's lymphoma of unspecified site
289603013	Burkitt's lymphoma of lymph nodes of head, face and neck
289604019	Burkitt's lymphoma of intrathoracic lymph nodes
289605018	Burkitt's lymphoma of intra-abdominal lymph nodes
289606017	Burkitt's lymphoma of lymph nodes of axilla and upper limb
289608016	Burkitt's lymphoma of intrapelvic lymph nodes
289610019	Burkitt's lymphoma of spleen
289611015	Burkitt's lymphoma of lymph nodes of multiple sites
289612010	Burkitt's lymphoma NOS
289613017	Other specified reticulosarcoma or lymphosarcoma
289614011	Reticulosarcoma or lymphosarcoma NOS
289616013	Hodgkin's paragranuloma of unspecified site
289618014	Hodgkin's paragranuloma of intrathoracic lymph nodes
289621011	Hodgkin's paragranuloma of intra-abdominal lymph nodes
289624015	Hodgkin's paragranuloma of intrapelvic lymph nodes
289626018	Hodgkin's paragranuloma of lymph nodes of multiple sites
289627010	Hodgkin's paragranuloma NOS
289628017	Hodgkin's granuloma of unspecified site
2896281000006114	Sertoli cell tumour with lipid storage
289629013	Hodgkin's granuloma of lymph nodes of head, face and neck
2896301000006113	Tubular androblastoma with lipid storage
289632011	Hodgkin's granuloma of intra-abdominal lymph nodes
289633018	Hodgkin's granuloma of lymph nodes of axilla and upper limb
2896331000006117	Lipid-rich Sertoli cell tumour
289637017	Hodgkin's granuloma of lymph nodes of multiple sites
289638010	Hodgkin's granuloma NOS
289639019	Hodgkin's sarcoma of unspecified site
289640017	Hodgkin's sarcoma of lymph nodes of head, face and neck
289643015	Hodgkin's sarcoma of lymph nodes of axilla and upper limb
289647019	Hodgkin's sarcoma of lymph nodes of multiple sites
289648012	Hodgkin's sarcoma NOS
289657018	Hodgkin's disease, lymphocytic-histiocytic predominance of spleen
289659015	Hodgkin's, lymphocytic-histiocytic predominance NOS
289660013	Hodgkin's disease, nodular sclerosis of unspecified site
289669014	Hodgkin's disease, nodular sclerosis NOS
289670010	Hodgkin's disease, mixed cellularity of unspecified site
289679011	Hodgkin's disease, mixed cellularity NOS
289680014	Hodgkin's lymphocytic depletion of unspecified site
289699017	Hodgkin's disease, lymphocytic depletion of spleen
289701017	Hodgkin's disease, lymphocytic depletion NOS
289702012	Hodgkin's disease NOS
289703019	Hodgkin's disease NOS, unspecified site
289704013	Hodgkin's disease of lymph nodes of head, face AND/OR neck
289705014	Hodgkin's disease of intrathoracic lymph nodes
289706010	Hodgkin's disease of intra-abdominal lymph nodes
289709015	Hodgkin's disease of intrapelvic lymph nodes
289710013	Hodgkin's disease of spleen
289711012	Hodgkin's disease of lymph nodes of multiple sites
289713010	Other malignant neoplasm of lymphoid and histiocytic tissue
289717011	Nodular lymphoma of unspecified site
289718018	Nodular lymphoma of lymph nodes of head, face and neck
289721016	Nodular lymphoma of lymph nodes of axilla and upper limb
289726014	Nodular lymphoma NOS
289727017	Mycosis fungoides of unspecified site
289738017	Mycosis fungoides of lymph nodes of multiple sites
289739013	Mycosis fungoides NOS
289740010	Sezary's disease of unspecified site
289741014	Sezary's disease of lymph nodes of head, face and neck
289742019	Sezary's disease of intrathoracic lymph nodes
289743012	Sezary's disease of intra-abdominal lymph nodes
289744018	Sezary's disease of lymph nodes of axilla and upper limb
289746016	Sezary's disease of intrapelvic lymph nodes
289748015	Sezary's disease of lymph nodes of multiple sites
289749011	Sezary's disease NOS
289750011	Malignant histiocytosis of unspecified site
289754019	Malignant histiocytosis NOS
289756017	LRE - Leukaemic reticuloendotheliosis
289769018	Leukaemic reticuloendotheliosis of spleen
289773015	Leukaemic reticuloendotheliosis NOS
289776011	Letterer-Siwe disease of unspecified sites
289780018	Letterer-Siwe disease NOS
289781019	Malignant mast cell tumours
289783016	Mast cell malignancy
289784010	Mast cell malignancy of lymph nodes of head, face and neck
289785011	Mast cell malignancy of intrathoracic lymph nodes
289786012	Mast cell malignancy of intra-abdominal lymph nodes
289787015	Mast cell malignancy of lymph nodes of axilla and upper limb
289789017	Mast cell malignancy of intrapelvic lymph nodes
289790014	Mast cell malignancy of spleen
289791013	Mast cell malignancy of lymph nodes of multiple sites
289793011	Malignant mast cell tumour NOS
289799010	Diffuse non-Hodgkin's small cell (diffuse) lymphoma
289801013	Diffuse non-Hodgkin's small cleaved cell (diffuse) lymphoma
289812013	Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
289813015	Other types of follicular non-Hodgkin's lymphoma
289820010	Malignant lymphoma (clinical)
289826016	Malignant immunoproliferative small intestinal disease
289829011	Malignant lymphoma NOS
289830018	Malignant lymphoma NOS of unspecified site
289831019	Malignant lymphoma of lymph nodes of head, face AND/OR neck
289832014	Malignant lymphoma of intrathoracic lymph nodes
289842011	Malignant lymphoma of intra-abdominal lymph nodes
289845013	Malignant lymphoma of intrapelvic lymph nodes
289846014	Malignant lymphoma of spleen
289847017	Malignant lymphoma of lymph nodes of multiple sites
289849019	Malignant neoplasms of lymphoid and histiocytic tissue NOS
289867014	Malignant plasma cell neoplasm, extramedullary plasmacytoma
289873010	Other immunoproliferative neoplasms
289874016	Immunoproliferative neoplasm or myeloma NOS
289875015	Lymphatic leukaemia
289876019	Lymphoid leukaemia
289880012	Subacute lymphoid leukaemia
289881011	Other lymphoid leukaemia
289884015	Aleukaemic lymphoid leukaemia
289885019	Adult T-cell leukaemia
289888017	Other lymphoid leukaemia NOS
289889013	Lymphoid leukaemia NOS
289892012	Myeloid leukaemia
289895014	Chronic eosinophilic leukaemia
289898011	Chronic neutrophilic leukaemia
289900013	Chronic myeloid leukaemia NOS
289901012	Subacute myeloid leukaemia
289903010	Chloroma
289904016	Granulocytic sarcoma
289905015	Myeloid sarcoma NOS
289907011	Other myeloid leukaemia
289908018	Aleukaemic myeloid leukaemia
289911017	Other myeloid leukaemia NOS
289912012	Myeloid leukaemia NOS
289917018	Monocytic leukaemia
289919015	Monoblastic leukaemia
289921013	Histiocytic leukaemia
289923011	Chronic monocytic leukaemia
289924017	Subacute monocytic leukaemia
289926015	Other monocytic leukaemia
289928019	Aleukaemic monocytic leukaemia
289930017	Other monocytic leukaemia NOS
289933015	Monocytic leukaemia NOS
289934014	Other specified leukaemia
289948014	Thrombocytic leukaemia
289949018	Megakaryocytic leukaemia
289955011	Other and unspecified leukaemia
289959017	Other and unspecified leukaemia NOS
289960010	Other specified leukaemia NOS
289963012	Leukaemia of unspecified cell type
289964018	Acute leukaemia
289967013	Chronic leukaemia
289968015	Subacute leukaemia
289971011	Other leukaemia of unspecified cell type
289972016	Leukaemia
289974015	Myelomonocytic leukaemia
289980011	Subacute myelomonocytic leukaemia
289987014	Malignant neoplasm lymphatic or haematopoietic tissue NOS
2900601000006112	Nephroblastoma
2900611000006110	Wilms' tumor
2900621000006119	Embryonal nephroma
2900631000006116	Embryonal adenosarcoma
2900641000006114	Renal adenosarcoma
2900651000006111	Nephroma
2900661000006113	Wilms' tumour
2901912012	Diffuse follicle centre lymphoma
2902211000006111	Recurrent tumour
2902221000006115	Recurrent tumor
2902231000006117	Recurrence of tumor
2902531000006119	Adenocarcinoma, intestinal type
2902541000006112	Carcinoma, intestinal type
2902551000006114	Carcinoma - intestinal type
2905761000006112	Hepatocellular carcinoma
2905771000006117	Liver cell carcinoma
2905781000006119	Hepatocarcinoma
2905791000006116	Hepatoma, malignant
2905801000006115	Hepatoma
290718013	Carcinoma in situ of lip, oral cavity and pharynx NOS
290732010	Carcinoma in situ of oesophagus NOS
290741017	Carcinoma in situ of stomach NOS
290749015	Carcinoma in situ of splenic flexure of colon
290750015	Carcinoma in situ of colon NOS
290751016	Carcinoma in situ of rectum and rectosigmoid junction
290752011	Carcinoma in situ of rectum or rectosigmoid junction NOS
290753018	Carcinoma in situ of anus
290758010	Carcinoma in situ of other and unspecified small intestine
290768017	Carcinoma in situ of hepatic duct
290772018	Carcinoma in situ of liver and/or biliary system
290773011	Carcinoma in situ of other and unspecified digestive organs
290775016	Carcinoma in situ of digestive organs NOS
290776015	Carcinoma in situ of respiratory system
290777012	Carcinoma in situ of thyroid cartilage
290778019	Carcinoma in situ of cricoid cartilage
290780013	Carcinoma in situ of arytenoid cartilage
290782017	Carcinoma in situ of cuneiform cartilage
290783010	Carcinoma in situ of aryepiglottic fold
290784016	Carcinoma in situ of vestibular fold
290787011	Carcinoma in situ of larynx NOS
290788018	Carcinoma in situ of bronchus and lung
290789014	Carcinoma in situ of carina of bronchus
290791018	Carcinoma in situ of upper lobe bronchus and lung
290792013	Carcinoma in situ of middle lobe bronchus and lung
290793015	Carcinoma in situ of lower lobe bronchus and lung
290794014	Carcinoma in situ of bronchus or lung NOS
290804014	Carcinoma in situ of respiratory organ NOS
290806011	Carcinoma in situ of skin of eyelid including canthus
290808012	Carcinoma in situ of skin of auricle
290818019	Carcinoma in situ of skin of temple
290819010	Carcinoma in situ of skin of jaw
290821017	Carcinoma in situ of scalp and skin of neck
290822012	Carcinoma in situ of scalp
290824013	Carcinoma in situ of scalp or skin of neck NOS
290825014	Carcinoma in situ of skin of trunk, excluding scrotum
290827018	Carcinoma in situ of skin of chest wall NOS
290830013	Carcinoma in situ of skin of abdominal wall
290835015	Carcinoma in situ of skin of trunk NOS
290836019	Carcinoma in situ of skin of upper limb and shoulder
290838018	Carcinoma in situ of skin of upper arm
290839014	Carcinoma in situ of skin of lower arm
290841010	Carcinoma in situ of skin of upper limb or shoulder NOS
290843013	Carcinoma in situ of skin of lower limb
290849012	Carcinoma in situ of skin of lower leg
290851011	Carcinoma in situ of skin of lower limb or hip NOS
290856018	Melanoma in situ of scalp and neck
290865013	Carcinoma in situ of other specified sites of skin
290866014	Carcinoma in situ of skin NOS
290867017	Carcinoma in situ of breast and genitourinary system
290868010	Carcinoma in situ of breast
290889018	Carcinoma in situ of female genital organs NOS
290893012	Carcinoma in situ of male genital organs NOS
290894018	Carcinoma in situ of urinary organs NOS
290895017	Carcinoma in situ of other and unspecified sites
290896016	Carcinoma in situ of other specified site
290900018	Carcinoma in situ of other specified site NOS
290901019	Carcinoma in situ NOS
290907015	Neoplasm of uncertain behaviour of major salivary glands
290916016	Neoplasm of uncertain behaviour of submandibular gland
290919011	Neoplasm of uncertain behaviour of major salivary gland
290934017	Neoplasm of uncertain behaviour of gums
290981016	Neoplasm of uncertain behaviour of hepatic duct
290993013	Neoplasm of uncertain behaviour of sphincter of Oddi
291001010	Neoplasm of uncertain behaviour of peritoneum
291010019	Neoplasm of uncertain behaviour of anal canal and sphincter
291018014	Neoplasm of uncertain behaviour of thyroid cartilage
291022016	Neoplasm of uncertain behaviour of cricoid cartilage
291026018	Neoplasm of uncertain behaviour of arytenoid cartilage
291027010	Neoplasm of uncertain behaviour of corniculate cartilage
291031016	Neoplasm of uncertain behaviour of aryepiglottic fold
291038010	Neoplasm of uncertain behaviour of larynx NOS
291062017	Neoplasm of uncertain behaviour of tympanic cavity
291067011	Neoplasm of uncertain behaviour of mastoid air cells
291079011	Neoplasm of uncertain behaviour of genitourinary organs
291092014	Uncertain neoplasm of placenta NOS
291102017	Neoplasm of uncertain behaviour of female genital organs NOS
291107011	Neoplasm of uncertain behaviour of other male genital organs
291115014	Neoplasm of uncertain behaviour of male genital organs NOS
291137019	Uncertain neoplasm of urinary organ NOS
291158013	Neoplasm of uncertain behaviour of paraganglia
291167013	Neoplasm of uncertain behaviour of paraganglia NOS
291178017	Neoplasm of uncertain behaviour of endocrine gland NOS
291179013	Neoplasm of uncertain behaviour of brain and spinal cord
291190015	Neoplasm of uncertain behaviour of brain or spinal cord NOS
291198010	Neoplasm of uncertain behaviour of meninges NOS
291206010	Neoplasm of uncertain behaviour of nervous system NOS
291252015	Refractory anaemia without sideroblasts, so stated
291275010	Neoplasm of uncertain behaviour of other specified sites
291280018	Neop of uncertain behaviour of other specified sites NOS
291284010	Neoplasm of uncertain behaviour otherwise specified
291287015	Neoplasm of uncertain behaviour NOS
291288013	Neoplastic disease
291289017	Neoplasm of unspecified nature
291290014	Neoplasm of unspecified nature of digestive system
291293011	Neoplasm of unspecified nature of respiratory system
291294017	Neoplasm of unspecified nature of bone, skin and soft tissue
291295016	Neoplasm of unspecified nature of bone
291296015	Neoplasm of unspecified nature of soft tissue
291297012	Neoplasm of skin
291299010	Neoplasm of breast
291300019	Neoplasm of bladder
291301015	Neoplasm of unspecified nature of other genitourinary organs
291302010	Neoplasm of brain
291304011	Neoplasm of unspecified nature of other specified sites
291306013	Neoplasm of unspecified nature NOS
291307016	[M]Neoplasms NOS
291316017	Tumour cells, uncertain whether benign or malignant
291320018	[M]Unspecified tumour cell NOS
291322014	[M]Epithelial neoplasms NOS
291326012	Malignant Neoplasm (Morphology)
291327015	Carcinoma, metastatic
291328013	Large cell carcinoma
291329017	Carcinoma, undifferentiated
291330010	Carcinoma, anaplastic
291331014	[M]Spheroidal cell carcinoma
291332019	Small cell carcinoma
291337013	[M]Unspecified epithelial neoplasm
291343010	Papillary carcinoma
291344016	Verrucous carcinoma
291347011	Squamous cell carcinoma - category
291348018	Squamous cell carcinoma, metastatic
291356015	Bowen's disease
291358019	[M]Papillary or squamous cell neoplasm NOS
291359010	Basal cell neoplasm
291360017	Basal cell carcinoma
291361018	[M]Basal cell neoplasm NOS
291362013	Transitional cell neoplasm
291363015	Transitional cell carcinoma
291364014	[M]Transitional cell papilloma or carcinoma NOS
291369016	[M]Adenoma NOS
291372011	Adenocarcinoma
291374012	Adenocarcinoma, metastatic
291375013	[M]Pancreatic adenomas and carcinomas
291377017	[M]Pancreatic adenoma or carcinoma NOS
291378010	[M]Gastrinoma and carcinomas
291379019	[M]Gastrinoma or carcinoma NOS
291380016	[M]Hepatobiliary tract adenomas and carcinomas
291381017	Bile duct adenoma
291383019	Neoplasm of biliary tract
291391011	[M]Adenomatous and adenocarcinomatous polyps
291395019	[M]Adenomatous or adenocarcinomatous polyp NOS
291396018	[M]Tubular adenomas and adenocarcinomas
291398017	[M]Tubular adenoma or adenocarcinoma NOS
291402014	[M]Adenomatous or adenocarcinomatous polyps of the colon NOS
291403016	[M]Solid carcinoma NOS
2914071000006116	Endometrioid adenofibroma, borderline malignancy
291408013	[M]Carcinoid tumours
2914081000006118	Endometrioid cystadenofibroma, borderline malignancy
2914091000006115	Endometrioid cystadenofibroma - borderline malignancy
2914101000006114	Endometrioid adenofibroma - borderline malignancy
291411014	Carcinoid tumour
291414018	[M]Carcinoid tumour, malignant
291418015	[M]Carcinoid tumour, nonargentaffin, NOS
291419011	[M]Carcinoid tumour, nonargentaffin, malignant
291425010	[M]Carcinoid tumours NOS
291426011	[M]Respiratory tract adenomas and adenocarcinomas
291427019	[M]Bronchial adenoma NOS
291428012	[M]Respiratory tract adenoma or adenocarcinoma NOS
291429016	[M]Papillary adenomas and adenocarcinomas
291431013	Papillary adenocarcinoma
291433011	[M]Papillary adenoma or adenocarcinoma NOS
291434017	[M]Villous adenomas and adenocarcinomas
291435016	Villous adenoma
291436015	Adenocarcinoma in villous adenoma
2914361000006113	Fibrous histiocytoma
291437012	[M]Villous adenoma or adenocarcinoma NOS
291438019	[M]Pituitary adenomas and carcinomas
291439010	[M]Pituitary adenoma or carcinoma NOS
291440012	[M]Oxyphilic adenomas and adenocarcinomas
291441011	[M]Oxyphilic adenoma or adenocarcinoma NOS
291442016	[M]Clear cell adenomas and adenocarcinomas
291443014	Clear cell adenocarcinoma
291444015	[M]Clear cell adenoma or adenocarcinoma NOS
291445019	[M]Renal adenoma and carcinoma
291446018	[M]Renal adenoma or carcinoma NOS
291447010	[M]Parathyroid adenomas and adenocarcinomas
291448017	[M]Parathyroid adenoma or adenocarcinoma NOS
291449013	[M]Mixed cell adenoma and adenocarcinoma
291450013	[M]Mixed cell adenoma or adenocarcinoma NOS
291451012	[M]Thyroid adenoma and adenocarcinoma
291452017	Follicular adenocarcinoma
291454016	[M]Thyroid adenoma or adenocarcinoma NOS
291461017	[M]Adrenal cortical tumours NOS
291462012	[M]Endometrioid adenomas and carcinomas
291464013	Endometrioid adenofibroma
291465014	[M]Endometrioid adenoma or carcinoma NOS
291470019	[M]Adenoma or adenocarcinoma NOS
291472010	[M]Skin appendage adenoma and carcinoma
291474011	Skin appendage carcinoma
291475012	[M]Skin appendage adenoma or carcinoma NOS
291476013	[M]Sweat gland adenoma and adenocarcinomas
291479018	Sweat gland tumour
291480015	Sweat gland adenocarcinoma
291481016	[M]Sweat gland adenoma or adenocarcinoma NOS
291482011	[M]Apocrine adenoma and adenocarcinomas
291483018	[M]Apocrine adenoma or adenocarcinoma NOS
291484012	[M]Sebaceous adenoma and adenocarcinoma
291485013	[M]Sebaceous adenoma or adenocarcinoma NOS
291486014	[M]Ceruminous adenoma and adenocarcinoma
291489019	[M]Adnexal and skin appendage neoplasm NOS
291490011	[M]Mucoepidermoid neoplasms
291491010	[M]Mucoepidermoid neoplasm NOS
291492015	[M]Cystic, mucinous and serous neoplasms
291493013	[M]Cystadenoma and carcinoma
291495018	Cystadenocarcinoma
291496017	[M]Cystadenoma or carcinoma NOS
291508010	Serous cystadenocarcinoma
291510012	Papillary cystadenocarcinoma
291515019	Mucinous cystadenocarcinoma
291524011	[M]Ovarian cystic, mucinous or serous neoplasm NOS
291525012	[M]Mucinous adenoma and adenocarcinoma
291526013	[M]Mucinous adenoma or adenocarcinoma NOS
291528014	[M]Signet ring carcinoma NOS
291529018	[M]Cystic, mucinous or serous neoplasm NOS
291530011	[M]Ductal, lobular and medullary neoplasms
291536017	[M]Comedocarcinoma NOS
291538016	Medullary carcinoma
291539012	[M]Intraductal carcinoma and lobular carcinoma in situ
291540014	Lobular carcinoma
291543011	[M]Ductal, lobular or medullary neoplasm NOS
291544017	[M]Acinar cell neoplasms
291545016	Acinar cell tumour
291547012	Acinar cell neoplasm
291548019	[M]Complex epithelial neoplasms
291549010	[M]Thymoma NOS
291551014	Complex epithelial neoplasm
291553012	[M]Specialised gonadal neoplasms
2915531000006111	Malignant down
291558015	[M]Thecal cell neoplasms
291559011	[M]Thecoma NOS
291560018	[M]Theca cell carcinoma
291563016	[M]Thecal cell neoplasm NOS
291566012	[M]Granulosa cell tumour NOS
291571017	[M]Androblastoma NOS
291572012	[M]Tubular androblastoma NOS
291574013	[M]Leydig cell tumour NOS
291578011	Specialised gonadal neoplasm
291579015	[M]Paragangliomas and glomus tumours
291581018	Paraganglioma
291587019	[M]Paraganglioma or glomus tumour NOS
291588012	[M]Naevi and melanomas
291604015	Precancerous melanosis
291607010	Spindle cell melanoma
291617017	[M]Naevi or melanoma NOS
291618010	[M]Soft tissue tumours and sarcomas NOS
291622017	Sarcoma - category
291623010	Sarcomatosis
291624016	[M]Soft tissue tumour or sarcoma NOS
291626019	[M]Fibromatous neoplasms
2916281000006118	Retinoblastoma, differentiated
2916291000006115	Retinoblastoma - differentiated
291630016	Fibrohistiocytic neoplasm - category
291631017	Fibroxanthoma
291635014	Fibromatous neoplasm
291638011	[M]Liposarcoma NOS
291641019	Angiomyoliposarcoma
291649017	[M]Myomatous neoplasms
291650017	[M]Leiomyomatous neoplasms
291652013	[M]Intravascular leiomyomatosis
291653015	Leiomyosarcoma - category
291658012	[M]Leiomyomatous neoplasm NOS
291659016	[M]Angiomyomatous neoplasms
291660014	[M]Angiomyomatous neoplasm NOS
291661013	[M]Myoma and myosarcoma
291662018	[M]Myoma or myosarcoma NOS
291663011	[M]Rhabdomyomatous neoplasms
291667012	[M]Rhabdomyomatous neoplasm NOS
291668019	Myomatous neoplasm
291669010	[M]Mixed tumour, malignant, NOS
